model,split,anomali_turu,gercek_anomali,yakalanan_anomali,recall
Kesin Kural Katmani,test,limit_asimi,78,3,0.0385
Isolation Forest,test,mukerrer_fis_yukleme,174,174,1.0
Robust Covariance,test,mukerrer_fis_yukleme,174,174,1.0
One-Class SVM,test,mukerrer_fis_yukleme,174,174,1.0
Local Outlier Factor,test,mukerrer_fis_yukleme,174,174,1.0
Autoencoder,test,mukerrer_fis_yukleme,174,174,1.0
Kesin Kural Katmani,test,mukerrer_fis_yukleme,174,174,1.0
Isolation Forest,test,ondalik_kaymasi,78,45,0.5769
Robust Covariance,test,ondalik_kaymasi,78,60,0.7692
One-Class SVM,test,ondalik_kaymasi,78,50,0.641
Local Outlier Factor,test,ondalik_kaymasi,78,8,0.1026
Autoencoder,test,ondalik_kaymasi,78,40,0.5128
Kesin Kural Katmani,test,ondalik_kaymasi,78,7,0.0897
Isolation Forest,test,satir_toplami,78,78,1.0
Robust Covariance,test,satir_toplami,78,78,1.0
One-Class SVM,test,satir_toplami,78,78,1.0
Local Outlier Factor,test,satir_toplami,78,78,1.0
Autoencoder,test,satir_toplami,78,78,1.0
Kesin Kural Katmani,test,satir_toplami,78,78,1.0
Isolation Forest,test,yasakli_kategori,79,79,1.0
Robust Covariance,test,yasakli_kategori,79,66,0.8354
One-Class SVM,test,yasakli_kategori,79,79,1.0
Local Outlier Factor,test,yasakli_kategori,79,66,0.8354
Autoencoder,test,yasakli_kategori,79,75,0.9494
Kesin Kural Katmani,test,yasakli_kategori,79,66,0.8354
Isolation Forest,dogrulama+test,ara_toplam,157,157,1.0
Robust Covariance,dogrulama+test,ara_toplam,157,157,1.0
One-Class SVM,dogrulama+test,ara_toplam,157,157,1.0
Local Outlier Factor,dogrulama+test,ara_toplam,157,157,1.0
Autoencoder,dogrulama+test,ara_toplam,157,157,1.0
Kesin Kural Katmani,dogrulama+test,ara_toplam,157,157,1.0
Isolation Forest,dogrulama+test,dusuk_ondalik_kaymasi,157,55,0.3503
Robust Covariance,dogrulama+test,dusuk_ondalik_kaymasi,157,94,0.5987
One-Class SVM,dogrulama+test,dusuk_ondalik_kaymasi,157,80,0.5096
Local Outlier Factor,dogrulama+test,dusuk_ondalik_kaymasi,157,12,0.0764
Autoencoder,dogrulama+test,dusuk_ondalik_kaymasi,157,101,0.6433
Kesin Kural Katmani,dogrulama+test,dusuk_ondalik_kaymasi,157,12,0.0764
Isolation Forest,dogrulama+test,fatura_no_cakismasi,222,222,1.0
Robust Covariance,dogrulama+test,fatura_no_cakismasi,222,222,1.0
One-Class SVM,dogrulama+test,fatura_no_cakismasi,222,222,1.0
Local Outlier Factor,dogrulama+test,fatura_no_cakismasi,222,222,1.0
Autoencoder,dogrulama+test,fatura_no_cakismasi,222,222,1.0
Kesin Kural Katmani,dogrulama+test,fatura_no_cakismasi,222,222,1.0
Isolation Forest,dogrulama+test,footer_kismi,323,323,1.0
Robust Covariance,dogrulama+test,footer_kismi,323,323,1.0
One-Class SVM,dogrulama+test,footer_kismi,323,323,1.0
Local Outlier Factor,dogrulama+test,footer_kismi,323,323,1.0
Autoencoder,dogrulama+test,footer_kismi,323,323,1.0
Kesin Kural Katmani,dogrulama+test,footer_kismi,323,323,1.0
Isolation Forest,dogrulama+test,gecersiz_kimlik_no,155,81,0.5226
Robust Covariance,dogrulama+test,gecersiz_kimlik_no,155,20,0.129
One-Class SVM,dogrulama+test,gecersiz_kimlik_no,155,80,0.5161
Local Outlier Factor,dogrulama+test,gecersiz_kimlik_no,155,19,0.1226
Autoencoder,dogrulama+test,gecersiz_kimlik_no,155,26,0.1677
Kesin Kural Katmani,dogrulama+test,gecersiz_kimlik_no,155,18,0.1161
Isolation Forest,dogrulama+test,gelecek_tarihli,157,157,1.0
Robust Covariance,dogrulama+test,gelecek_tarihli,157,157,1.0
One-Class SVM,dogrulama+test,gelecek_tarihli,157,157,1.0
Local Outlier Factor,dogrulama+test,gelecek_tarihli,157,157,1.0
Autoencoder,dogrulama+test,gelecek_tarihli,157,157,1.0
Kesin Kural Katmani,dogrulama+test,gelecek_tarihli,157,157,1.0
Isolation Forest,dogrulama+test,genel_toplam,156,156,1.0
Robust Covariance,dogrulama+test,genel_toplam,156,156,1.0
One-Class SVM,dogrulama+test,genel_toplam,156,156,1.0
